,spkts,dpkts,sttl,dttl,smean,dmean,label
1377,16,18,31,29,96,91,0
11348,2,0,254,0,100,0,1
2599,2,2,31,29,73,89,0
17007,2,0,254,0,38,0,1
2587,2,2,31,29,73,89,0
2282,40,42,31,29,64,551,0
8393,52,24,62,252,856,82,1
11817,2,0,254,0,100,0,1
17569,10,10,62,252,83,143,1
14295,2,0,254,0,100,0,1
3720,52,42,31,29,716,80,0
11926,2,0,254,0,100,0,1
17050,2,0,254,0,84,0,1
13527,12,10,254,252,83,81,1
4835,4,4,31,29,142,78,0
5083,38,40,31,29,64,463,0
18640,2,0,254,0,689,0,1
64,10,10,62,252,86,477,0
9847,10,6,254,252,60,45,1
17972,2,0,254,0,84,0,1
14086,10,8,254,252,56,44,1
804,30,42,31,29,77,819,0
7108,30,16,254,252,593,44,1
19377,10,8,62,252,85,188,1
12310,2,0,254,0,100,0,1
2301,16,18,31,29,96,91,0
1204,22,26,31,29,87,170,0
4060,48,50,31,29,62,610,0
14394,10,8,254,252,109,44,1
1549,14,18,31,29,120,565,0
7464,2,0,254,0,100,0,1
14243,10,8,254,252,56,44,1
16117,10,6,254,252,58,45,1
15800,2,0,254,0,84,0,1
1610,38,42,31,29,64,443,0
4213,4,4,31,29,142,76,0
5183,10,8,62,252,45,103,1
10945,2,0,254,0,100,0,1
3602,16,18,31,29,96,91,0
4865,110,114,31,29,87,108,0
10708,2,0,254,0,90,0,1
783,62,58,31,29,96,138,0
8737,2,0,254,0,90,0,1
15304,10,8,62,252,82,122,1
4001,16,18,31,29,96,91,0
3881,2,2,31,29,73,89,0
15581,2,0,254,0,84,0,1
4694,30,42,31,29,77,819,0
12295,2,0,254,0,100,0,1
2777,16,18,31,29,96,91,0
9613,22,22,62,252,54,74,1
939,1,0,0,0,46,0,0
4593,68,70,31,29,59,849,0
9402,2,0,254,0,100,0,1
3917,38,40,31,29,64,463,0
11183,2,0,254,0,90,0,1
17180,14,12,254,252,68,52,1
4058,8,12,31,29,53,735,0
1861,308,746,31,29,54,1458,0
3035,62,58,31,29,96,138,0
1893,2,2,31,29,73,89,0
8323,42,22,62,252,739,80,1
4075,16,18,31,29,96,91,0
19873,22,38,62,252,48,812,1
11487,2,0,254,0,52,0,1
9555,10,8,62,252,76,131,1
6144,104,18,254,252,1224,44,1
5058,22,14,31,29,67,123,0
11772,14,10,254,252,55,56,1
276,12,18,31,29,132,565,0
15649,10,10,254,252,61,65,1
15211,14,32,62,252,68,1113,1
4656,2,2,31,29,73,89,0
19082,20,0,254,0,64,0,1
7540,20,0,254,0,64,0,1
6622,2,0,254,0,169,0,1
4720,22,24,31,29,87,180,0
12519,2,0,254,0,100,0,1
1109,16,18,31,29,96,91,0
15474,10,8,254,252,58,44,1
18174,12,10,254,252,89,81,1
4699,230,438,31,29,58,1252,0
2365,8,10,31,29,132,82,0
16012,42,0,254,0,440,0,1
1413,30,42,31,29,77,819,0
3201,28,30,31,29,152,103,0
13586,10,6,254,252,59,45,1
17267,10,10,62,252,77,423,1
11681,2,0,254,0,100,0,1
4438,4,4,31,29,142,78,0
2391,16,18,31,29,96,91,0
8912,16,10,254,252,54,56,1
14392,2,0,254,0,100,0,1
11759,2,0,254,0,100,0,1
2765,16,18,31,29,96,91,0
847,16,18,31,29,96,91,0
1899,8,10,31,29,132,82,0
13593,10,10,62,252,152,176,1
7640,10,8,254,252,88,44,1
16028,12,8,254,252,135,59,1
6082,12,10,254,252,93,78,1
3452,12,12,31,29,89,188,0
18223,10,6,254,252,53,45,0
5350,2,0,254,0,148,0,1
2356,28,42,31,29,79,819,0
12714,2,0,254,0,100,0,1
836,16,18,31,29,96,91,0
17505,12,28,254,252,71,1141,1
2480,4,4,31,29,132,76,0
1208,30,42,31,29,77,819,0
13849,2,0,254,0,100,0,1
13757,54,254,62,252,45,1244,1
13704,10,8,254,252,56,44,1
5369,2,0,254,0,100,0,1
2226,2,2,31,29,66,82,0
18947,10,8,254,252,56,44,1
15154,2,0,254,0,100,0,1
18292,2,0,254,0,84,0,1
4394,2,2,31,29,73,89,0
10690,20,20,62,252,49,115,1
8869,2,0,254,0,52,0,1
1555,30,42,31,29,77,819,0
1480,24,26,31,29,169,110,0
3686,4,4,31,29,142,78,0
10373,2,0,254,0,100,0,1
1,14,38,62,252,52,1106,0
19454,2,0,254,0,52,0,1
7985,14,40,62,252,72,1155,1
2093,16,18,31,29,96,91,0
9468,80,0,254,0,108,0,1
16085,48,24,62,252,857,81,1
4150,16,18,31,29,96,91,0
11728,2,0,254,0,100,0,1
1610,38,42,31,29,64,443,0
19460,10,8,254,252,116,128,1
15871,2,0,254,0,84,0,1
1471,28,30,31,29,152,103,0
4175,16,18,31,29,96,91,0
5509,10,6,254,252,56,45,1
15677,10,6,254,252,53,45,1
1039,30,42,31,29,77,819,0
10756,10,8,254,252,56,44,1
3508,16,18,31,29,96,91,0
7738,10,8,254,252,251,50,1
10918,22,22,62,252,53,75,1
1768,78,80,31,29,58,910,0
8015,20,0,254,0,64,0,1
12333,10,6,254,252,170,45,1
2491,8,10,31,29,132,82,0
5311,26,68,62,252,47,961,1
13855,2,0,254,0,68,0,1
756,16,18,31,29,96,91,0
7743,18,64,62,252,64,1187,1
19857,10,12,62,252,78,369,1
8823,12,10,254,252,83,78,1
11837,2,0,254,0,100,0,1
4383,6,8,31,29,53,228,0
11129,2,0,254,0,100,0,1
4956,16,18,31,29,96,91,0
7429,2,0,254,0,100,0,1
7964,12,8,254,252,125,97,1
2498,2,2,31,29,66,82,0
7065,10,8,254,252,56,44,1
8294,10,8,62,252,85,381,1
6053,52,160,62,252,45,1159,1
1288,16,18,31,29,96,91,0
2855,16,18,31,29,96,91,0
19368,12,8,254,252,121,89,1
2685,16,18,31,29,96,91,0
10925,2,0,254,0,39,0,1
783,62,58,31,29,96,138,0
609,16,18,31,29,96,91,0
2211,8,12,31,29,53,735,0
2935,16,18,31,29,96,91,0
12670,2,0,254,0,100,0,1
13735,24,24,62,252,54,71,1
7380,14,10,254,252,149,79,1
8448,276,58,62,252,1257,56,1
1648,14,18,31,29,120,565,0
12599,2,0,254,0,100,0,1
17462,10,8,62,252,83,159,1
18972,90,30,62,252,1047,74,1
11660,2,0,254,0,100,0,1
3486,22,24,31,29,87,180,0
18807,10,6,254,252,252,45,1
4403,112,112,31,29,87,109,0
12838,2,0,254,0,100,0,1
1277,16,18,31,29,96,91,0
7320,10,6,254,252,264,45,1
5552,2,0,254,0,84,0,1
4028,2,2,31,29,65,81,0
8408,10,6,254,252,122,45,1
5339,10,8,254,252,56,44,1
570,16,18,31,29,96,91,0
8485,200,48,62,252,1157,60,1
383,16,18,31,29,96,91,0
12048,2,0,254,0,100,0,1
4659,8,10,31,29,132,82,0
14844,10,8,254,252,56,44,1
16620,10,8,254,252,56,44,1
1947,16,18,31,29,96,91,0
4262,122,126,31,29,64,120,0
354,8,10,31,29,132,82,0
2944,16,18,31,29,96,91,0
19163,10,8,254,252,53,44,1
2892,8,10,31,29,132,82,0
554,24,24,31,29,84,180,0
4311,288,560,31,29,57,1263,0
7962,10,10,62,252,76,337,1
2734,10,12,31,29,53,735,0
1196,30,42,31,29,77,819,0
11232,2,0,254,0,100,0,1
17808,22,10,254,252,808,81,1
2633,12,12,31,29,89,188,0
11104,2,0,254,0,100,0,1
3728,64,66,31,29,59,785,0
16248,2,0,254,0,84,0,1
808,16,18,31,29,96,91,0
19838,10,6,254,252,51,45,1
8560,2,0,254,0,84,0,1
8687,2,0,254,0,90,0,1
8354,74,394,62,252,46,1276,1
3479,2,2,31,29,73,89,0
2190,16,18,31,29,96,91,0
5801,10,6,254,252,50,45,1
16471,42,0,254,0,440,0,1
29,2,0,254,0,707,0,0
11979,2,0,254,0,100,0,1
11257,2,0,254,0,100,0,1
12437,2,0,254,0,100,0,1
1430,2,2,31,29,66,82,0
5695,2,0,254,0,100,0,1
2908,4,4,31,29,142,76,0
18650,10,10,62,252,78,336,1
14727,2,0,254,0,100,0,1
9975,2,0,254,0,100,0,1
7751,2,2,254,60,76,41,1
4358,2,2,31,29,73,89,0
567,14,6,31,29,638,53,0
5029,90,92,31,29,57,911,0
6350,2,0,254,0,100,0,1
5030,2,2,31,29,73,89,0
14364,2,0,254,0,100,0,1
6577,2,0,254,0,100,0,1
16378,10,8,254,252,56,44,1
10341,72,26,62,252,1009,76,1
17694,10,6,254,252,110,45,1
16258,10,6,254,252,50,45,1
3094,2,2,31,29,66,82,0
2984,14,18,31,29,120,565,0
15445,20,22,62,252,48,199,1
4013,14,18,31,29,120,565,0
3966,16,18,31,29,96,91,0
6203,10,8,62,252,80,134,1
2692,8,10,31,29,132,82,0
13716,2,0,254,0,72,0,1
11713,2,0,254,0,100,0,1
13374,10,8,254,252,56,44,1
19744,12,6,254,252,496,45,1
3872,16,18,31,29,96,91,0
11766,2,0,254,0,100,0,1
2800,2,2,31,29,66,82,0
16087,8,8,62,252,46,301,1
19056,8,8,62,252,46,144,1
9252,2,0,254,0,100,0,1
7555,10,6,254,252,76,45,1
7805,12,8,254,252,105,94,1
17840,10,8,254,252,56,44,1
8720,114,20,254,252,1235,44,1
10126,10,6,254,252,90,45,1
15693,10,8,254,252,53,44,1
10427,14,6,254,252,583,45,1
4382,14,18,31,29,120,565,0
3405,16,18,31,29,96,91,0
17403,10,6,254,252,165,45,1
2916,16,18,31,29,96,91,0
2418,2,2,31,29,66,82,0
15933,28,0,254,0,458,0,1
4747,6,8,31,29,53,228,0
7595,2,0,254,0,100,0,1
4894,106,114,31,29,89,108,0
11419,2,0,254,0,100,0,1
19397,112,22,254,252,1215,43,1
17800,156,38,62,252,1172,70,1
2334,12,18,31,29,132,565,0
6348,2,0,254,0,100,0,1
15328,10,6,254,252,53,45,1
13929,2,0,254,0,100,0,1
10068,2,0,254,0,100,0,1
10269,3,0,254,0,1007,0,1
1284,16,18,31,29,96,91,0
3377,2,2,31,29,73,89,0
4111,38,40,31,29,64,482,0
6676,32,14,254,252,689,52,1
8370,2,0,254,0,645,0,1
4482,38,40,31,29,64,482,0
9022,10,8,62,252,76,165,1
7093,2,0,254,0,90,0,1
18786,10,8,254,252,56,44,1
1170,38,40,31,29,64,463,0
9315,2,0,254,0,52,0,1
2808,16,18,31,29,96,91,0
10522,2,0,254,0,100,0,1
1159,30,42,31,29,77,819,0
15719,10,6,254,252,106,45,1
17360,16,8,254,252,764,44,1
9586,10,8,62,252,92,169,1
16827,82,0,254,0,64,0,1
5022,16,18,31,29,96,91,0
17141,12,8,254,252,94,93,1
1524,8,10,31,29,132,82,0
3836,48,50,31,29,62,610,0
9251,10,6,254,252,307,45,1
11223,2,0,254,0,100,0,1
12705,2,0,254,0,100,0,1
16530,42,0,254,0,440,0,1
16965,10,8,254,252,98,44,1
9077,10,6,254,252,59,45,1
3157,8,10,31,29,132,82,0
15240,2,0,254,0,84,0,1
9546,10,8,254,252,161,44,1
9692,2,0,254,0,100,0,1
3939,30,42,31,29,77,819,0
6158,2,0,254,0,100,0,1
16719,10,10,62,252,76,422,1
17196,10,8,254,252,56,44,1
9557,2,0,254,0,496,0,1
363,8,10,31,29,132,82,0
3083,16,18,31,29,96,91,0
4217,2,2,31,29,73,89,0
3542,40,42,31,29,64,551,0
4002,122,126,31,29,64,115,0
3492,4,4,31,29,130,76,0
8062,2,0,254,0,532,0,1
4226,38,40,31,29,64,463,0
3891,4,4,31,29,142,78,0
2680,16,18,31,29,96,91,0
2943,40,42,31,29,64,551,0
9291,2,0,254,0,100,0,1
2172,64,66,31,29,59,785,0
4341,2,2,31,29,73,89,0
18551,10,8,254,252,56,44,1
1916,8,10,31,29,132,82,0
19055,10,10,62,252,95,137,1
10091,2,0,254,0,100,0,1
17758,10,6,254,252,53,45,1
8922,8,0,254,0,60,0,1
11900,2,0,254,0,100,0,1
9211,10,14,62,252,79,679,1
18319,10,6,254,252,76,45,1
936,16,18,31,29,96,91,0
3246,14,8,31,29,638,53,0
7503,2,0,254,0,100,0,1
4426,12,12,31,29,89,188,0
2415,16,18,31,29,96,91,0
10412,40,164,62,252,45,1184,1
2272,16,18,31,29,96,91,0
4879,22,14,31,29,67,123,0
7901,3,0,254,0,1009,0,1
13550,2,0,254,0,100,0,1
14377,2,0,254,0,100,0,1
10325,2,0,254,0,39,0,1
181,2,0,254,0,751,0,0
5034,2,2,31,29,73,89,0
13287,30,22,62,252,610,83,1
3228,2,2,31,29,65,81,0
4998,62,58,31,29,96,138,0
10677,10,8,254,252,104,44,1
2645,2,2,31,29,73,89,0
8068,2,0,254,0,532,0,1
2261,30,42,31,29,77,819,0
18148,10,6,254,252,53,45,0
922,16,18,31,29,96,91,0
105,122,126,31,29,64,120,0
965,22,24,31,29,87,180,0
12845,2,0,254,0,72,0,1
4308,4,4,31,29,142,78,0
3420,16,18,31,29,96,91,0
5201,2,0,254,0,100,0,1
4124,2,2,31,29,66,82,0
14968,38,10,254,252,1127,44,1
2903,16,18,31,29,96,91,0
145,16,18,31,29,96,91,0
141,2,0,63,0,84,0,0
17947,12,8,254,252,84,91,1
18208,10,8,254,252,252,44,1
13776,24,22,62,252,54,75,1
6473,2,0,254,0,100,0,1
3085,8,10,31,29,132,82,0
4331,6,8,31,29,53,228,0
3431,342,746,31,29,53,1458,0
13737,2,0,254,0,84,0,1
1841,26,28,31,29,160,106,0
11508,2,0,254,0,100,0,1
10978,2,0,254,0,100,0,1
11425,2,0,254,0,84,0,1
14789,10,8,254,252,86,44,1
18297,196,0,254,0,272,0,1
2137,8,10,31,29,132,82,0
1941,16,18,31,29,96,91,0
11152,2,0,254,0,90,0,1
15151,2,0,254,0,100,0,1
17532,22,20,62,252,266,94,1
6163,2,0,254,0,100,0,1
18766,2,0,254,0,412,0,1
18230,10,8,254,252,53,44,0
5261,12,8,254,252,116,93,1
308,2,2,31,29,73,89,0
13676,2,0,254,0,72,0,1
11055,2,0,254,0,100,0,1
16864,12,18,62,252,77,982,1
14539,2,0,254,0,100,0,1
5842,10,6,254,252,49,45,1
975,16,18,31,29,96,91,0
6237,56,0,254,0,272,0,1
3231,2,2,31,29,73,89,0
5154,2,0,254,0,100,0,1
12857,10,6,254,252,101,45,1
13513,2,0,254,0,699,0,1
15525,8,6,254,252,46,45,1
12407,2,0,254,0,100,0,1
11499,10,8,254,252,56,44,1
12726,2,0,254,0,100,0,1
3887,2,2,31,29,65,81,0
12492,2,0,254,0,100,0,1
8611,2,0,254,0,90,0,1
5365,2,0,254,0,100,0,1
10215,2,0,254,0,100,0,1
16633,10,8,254,252,53,44,1
16463,10,8,254,252,84,44,1
4620,16,18,31,29,96,91,0
10586,16,14,254,252,136,52,1
11345,2,0,254,0,100,0,1
5039,2,2,31,29,73,89,0
8987,14,12,254,252,55,54,1
7706,14,10,254,252,394,82,1
10313,2,0,254,0,39,0,1
3220,8,10,31,29,132,82,0
11640,2,0,254,0,100,0,1
10689,2,0,254,0,100,0,1
19044,10,10,62,252,87,128,1
19150,12,8,254,252,88,91,1
19110,10,8,254,252,50,52,1
2417,16,18,31,29,96,91,0
14428,20,36,62,252,54,860,1
14621,2,0,254,0,100,0,1
15705,10,10,254,252,61,65,1
16740,24,22,62,252,54,74,1
2821,22,24,31,29,87,180,0
11714,2,0,254,0,100,0,1
19275,10,6,254,252,89,45,1
8355,14,6,254,252,561,45,1
1207,360,746,31,29,53,1458,0
6533,54,24,62,252,870,78,1
15991,10,8,254,252,70,44,1
3052,2,2,31,29,66,82,0
7671,12,10,254,252,143,84,1
1628,16,18,31,29,96,91,0
1590,4,4,31,29,132,76,0
1599,16,18,31,29,96,91,0
4131,18,18,31,29,230,136,0
19155,24,22,62,252,126,82,1
16456,22,22,62,252,53,74,1
15267,10,6,254,252,57,45,1
18518,10,8,62,252,86,172,1
8573,2,0,254,0,90,0,1
11737,2,0,254,0,100,0,1
12139,2,0,254,0,100,0,1
1935,16,18,31,29,96,91,0
9584,2,0,254,0,100,0,1
7195,2,0,254,0,65,0,1
4839,68,70,31,29,59,849,0
7911,2,0,254,0,84,0,1
9455,2,0,254,0,100,0,1
1532,24,24,31,29,84,180,0
15557,42,0,254,0,64,0,1
16298,10,8,254,252,76,44,1
2941,64,66,31,29,59,785,0
17962,72,28,62,252,970,74,1
2671,4,4,31,29,142,78,0
14108,2,0,254,0,100,0,1
17275,24,22,62,252,54,74,1
19887,10,8,254,252,53,44,0
3819,12,12,31,29,89,188,0
8982,60,14,254,252,1137,44,1
13484,12,10,254,252,95,79,1
14483,2,0,254,0,100,0,1
182,2,0,254,0,649,0,0
5,10,6,254,252,53,45,0
6106,2,0,254,0,100,0,1
7991,2,0,254,0,52,0,1
1411,78,82,31,29,58,889,0
6552,2,0,254,0,100,0,1
3085,8,10,31,29,132,82,0
17235,60,14,254,252,1137,44,1
17630,2,0,254,0,754,0,0
913,16,18,31,29,96,91,0
5591,10,8,254,252,76,44,1
18890,10,8,62,252,84,157,1
17451,10,6,254,252,59,45,0
4070,12,12,31,29,89,188,0
10387,10,8,254,252,53,44,1
9887,2,0,254,0,100,0,1
10143,2,0,254,0,100,0,1
2357,2,2,31,29,73,89,0
2773,18,18,31,29,208,136,0
14026,2,0,254,0,100,0,1
280,2,2,31,29,73,89,0
11151,2,0,254,0,100,0,1
18731,10,6,254,252,235,45,1
9287,12,16,254,252,156,859,1
3229,16,18,31,29,96,91,0
4954,38,40,31,29,64,482,0
3254,16,18,31,29,96,91,0
1127,16,18,31,29,96,91,0
5877,48,22,254,252,835,128,1
18680,10,8,254,252,137,188,1
14647,2,0,254,0,100,0,1
19507,10,6,254,252,53,45,1
2175,2,2,31,29,66,82,0
12082,2,0,254,0,100,0,1
4581,38,40,31,29,64,482,0
15480,10,10,62,252,81,237,1
16562,2,0,254,0,110,0,1
10158,14,12,254,252,61,57,1
15954,10,6,254,252,269,45,1
16724,2,0,62,0,67,0,1
18141,10,8,254,252,53,44,0
5944,12,10,254,252,85,84,1
54,2,0,254,0,84,0,0
6102,10,8,254,252,84,44,1
4549,28,42,31,29,79,819,0
7641,2,0,254,0,100,0,1
4101,22,24,31,29,87,180,0
15396,2,0,254,0,84,0,1
14485,2,0,254,0,100,0,1
5940,22,12,254,252,809,77,1
17944,10,6,254,252,53,45,0
14938,12,26,62,252,75,1125,1
18097,28,92,62,252,107,1199,1
15127,2,0,254,0,100,0,1
12932,10,8,62,252,54,233,1
4326,2,2,31,29,65,81,0
15527,10,6,254,252,53,45,1
8780,10,12,62,252,102,643,1
1874,52,54,31,29,56,69,0
2854,2,2,31,29,73,89,0
1570,16,18,31,29,96,91,0
1120,24,24,31,29,185,115,0
7353,2,0,254,0,100,0,1
16770,12,24,62,252,74,939,1
17727,2,0,254,0,52,0,1
16275,10,8,254,252,56,44,1
6970,1,0,0,0,60,0,1
14627,2,0,254,0,100,0,1
9454,10,8,62,252,81,165,1
7025,2,0,254,0,73,0,1
264,28,30,31,29,152,103,0
3516,2,2,31,29,66,82,0
703,16,18,31,29,96,91,0
15767,10,8,254,252,182,44,1
4367,16,18,31,29,96,91,0
3079,4,4,31,29,130,76,0
17045,8,8,62,252,46,104,1
19043,44,0,254,0,78,0,1
687,28,42,31,29,79,819,0
8939,12,8,254,252,87,94,1
19693,12,10,62,252,110,327,1
8426,14,14,254,252,67,55,1
6196,2,0,254,0,100,0,1
3306,16,18,31,29,96,91,0
6520,12,8,254,252,89,92,1
13641,14,12,254,252,50,57,1
73,2,0,254,0,681,0,0
4935,16,18,31,29,96,91,0
1970,12,18,31,29,132,565,0
11738,2,0,254,0,100,0,1
16535,10,8,254,252,142,44,1
4467,4,4,31,29,132,76,0
9654,2,0,254,0,100,0,1
3383,12,12,31,29,89,188,0
1025,16,18,31,29,96,91,0
3773,2,2,31,29,73,89,0
1879,4,4,31,29,142,78,0
7875,10,8,254,252,225,44,1
49,2,0,254,0,84,0,0
17478,10,6,254,252,59,45,0
5813,12,8,254,252,84,95,1
1309,16,18,31,29,96,91,0
19997,2,0,254,0,100,0,1
5040,2,2,31,29,66,82,0
16017,54,26,62,252,892,75,1
419,16,18,31,29,96,91,0
3331,30,42,31,29,77,819,0
2681,14,18,31,29,120,565,0
14029,2,0,254,0,90,0,1
7599,20,14,254,252,154,44,1
9598,2,0,254,0,52,0,1
7369,12,8,254,252,114,94,1
1838,16,18,31,29,96,91,0
14754,2,0,254,0,84,0,1
859,16,18,31,29,96,91,0
2342,16,18,31,29,96,91,0
13301,10,8,254,252,57,44,1
15582,20,14,254,252,53,44,1
6590,2,0,254,0,532,0,1
17730,24,22,62,252,53,75,1
8382,10,8,62,252,82,110,1
16848,10,6,254,252,99,45,1
14000,10,6,254,252,102,45,1
3197,4,4,31,29,142,76,0
16251,12,14,62,252,106,640,1
12521,2,0,254,0,100,0,1
2844,12,18,31,29,132,565,0
1650,4,4,31,29,130,76,0
11139,2,0,254,0,100,0,1
7777,10,8,254,252,210,44,1
4167,8,10,31,29,132,82,0
17904,2,0,254,0,532,0,1
8208,22,0,254,0,108,0,1
657,16,18,31,29,96,91,0
3323,40,42,31,29,64,551,0
18267,10,6,254,252,53,45,1
5456,2,0,254,0,84,0,1
17294,22,38,62,252,47,748,1
3399,16,18,31,29,96,91,0
16951,2,0,254,0,97,0,1
9535,24,22,62,252,53,75,1
1130,16,18,31,29,96,91,0
13050,2,0,254,0,100,0,1
14226,222,54,62,252,1247,62,1
8405,24,20,62,252,231,84,1
1433,8,10,31,29,132,82,0
4156,16,18,31,29,80,143,0
3026,16,18,31,29,96,91,0
2664,12,18,31,29,132,565,0
4011,16,18,31,29,96,91,0
14281,24,24,254,252,66,102,1
12497,10,6,254,252,59,45,1
292,2,2,31,29,65,81,0
5614,2,0,254,0,100,0,1
7103,2,0,254,0,100,0,1
8480,10,8,254,252,56,44,1
1239,360,746,31,29,53,1458,0
672,16,18,31,29,96,91,0
2703,40,42,31,29,64,551,0
11839,2,0,254,0,100,0,1
18916,12,8,254,252,156,92,1
1701,12,18,31,29,132,565,0
8089,2,0,254,0,100,0,1
2898,16,18,31,29,96,91,0
6321,4,0,254,0,100,0,1
10935,2,0,254,0,100,0,1
4073,78,80,31,29,58,910,0
201,2,2,31,29,73,89,0
4043,30,42,31,29,77,819,0
3788,2,2,31,29,73,89,0
15712,10,8,254,252,153,44,1
14538,10,10,254,252,61,65,1
19590,10,10,62,252,85,125,1
3883,52,42,31,29,718,80,0
2020,16,18,31,29,96,91,0
4061,4,4,31,29,142,76,0
4123,8,10,31,29,132,82,0
5522,2,0,254,0,100,0,1
18167,10,6,254,252,53,45,0
5262,8,10,62,252,46,375,1
3291,52,42,31,29,718,80,0
4922,8,10,31,29,132,82,0
18204,12,8,254,252,94,91,1
15946,10,10,254,252,61,65,1
18969,202,0,254,0,272,0,1
9554,2,0,254,0,100,0,1
3495,12,18,31,29,132,565,0
47,12,12,62,252,107,425,0
4495,14,18,31,29,120,565,0
18501,12,8,254,252,254,91,1
16520,2,0,254,0,84,0,1
636,16,18,31,29,96,91,0
1706,64,66,31,29,59,785,0
10592,2,0,254,0,100,0,1
10136,42,0,254,0,45,0,1
765,16,18,31,29,80,143,0
4110,28,30,31,29,166,103,0
9901,2,0,254,0,100,0,1
3553,16,18,31,29,96,91,0
8923,2,0,254,0,84,0,1
4245,78,80,31,29,58,910,0
1884,16,18,31,29,96,91,0
9907,2,0,254,0,100,0,1
5804,10,8,254,252,88,44,1
13083,2,0,254,0,586,0,1
19971,2,0,254,0,532,0,1
18781,10,10,62,252,86,120,1
13948,2,0,254,0,100,0,1
6456,2,0,254,0,100,0,1
3653,12,18,31,29,132,565,0
13917,2,0,254,0,100,0,1
4418,90,92,31,29,57,911,0
7355,66,28,62,252,943,75,1
1809,2,2,31,29,66,82,0
3618,16,18,31,29,96,91,0
11632,18,58,62,252,66,1195,1
17454,10,6,254,252,59,45,0
4601,16,18,31,29,96,91,0
1135,16,18,31,29,96,91,0
5497,2,0,254,0,100,0,1
14787,2,0,254,0,220,0,1
2110,8,10,31,29,132,82,0
18017,10,8,254,252,56,44,1
8711,2,0,254,0,100,0,1
8859,8,8,62,252,46,112,1
6503,12,6,254,252,485,45,1
2506,30,42,31,29,77,819,0
17997,8,10,62,252,46,375,1
16973,250,24,254,60,994,69,1
18048,10,8,254,252,56,44,1
4378,8,12,31,29,53,735,0
19089,2,0,254,0,532,0,1
15537,42,0,254,0,52,0,1
14853,70,28,62,252,997,77,1
1251,30,42,31,29,77,819,0
15344,10,8,254,252,56,44,1
11141,2,0,254,0,100,0,1
2681,14,18,31,29,120,565,0
2537,16,18,31,29,96,91,0
1255,52,42,31,29,716,80,0
7029,10,6,254,252,55,45,1
13788,12,10,254,252,93,84,1
6927,2,0,254,0,100,0,1
7859,60,26,62,252,973,75,1
1577,16,18,31,29,96,91,0
2737,2,2,31,29,65,81,0
2216,2,2,31,29,65,81,0
7231,2,0,254,0,84,0,1
13629,10,8,254,252,56,44,1
404,28,30,31,29,152,103,0
17326,24,22,62,252,52,75,1
772,16,18,31,29,96,91,0
1646,22,24,31,29,87,180,0
15165,10,6,254,252,205,45,1
4222,4,4,31,29,132,76,0
6458,2,0,254,0,100,0,1
8653,2,0,254,0,138,0,1
2879,16,18,31,29,96,91,0
6449,2,0,254,0,100,0,1
11641,2,0,254,0,100,0,1
2080,2,2,31,29,66,82,0
3311,38,40,31,29,64,463,0
12440,2,0,254,0,100,0,1
5601,10,8,254,252,252,44,1
9186,2,0,254,0,100,0,1
2434,30,42,31,29,77,819,0
13761,12,10,254,252,83,84,1
8481,10,8,254,252,120,131,1
10196,10,8,254,252,56,44,1
16444,2,0,254,0,1101,0,1
5529,2,0,254,0,100,0,1
3174,22,24,31,29,87,180,0
18635,62,28,62,252,896,80,1
3535,16,18,31,29,96,91,0
6302,2,0,254,0,100,0,1
2801,2,2,31,29,73,89,0
4460,2,2,31,29,73,89,0
13557,76,16,254,252,1173,44,1
4806,10,12,31,29,53,735,0
73,2,0,254,0,681,0,0
10853,10,6,254,252,74,45,1
286,2,2,31,29,73,89,0
11773,2,0,254,0,100,0,1
10125,2,0,254,0,100,0,1
5642,2,0,254,0,100,0,1
3132,16,18,31,29,96,91,0
11942,2,0,254,0,100,0,1
9682,32,12,254,252,850,54,1
5680,2,0,254,0,100,0,1
1313,28,30,31,29,166,103,0
2255,64,66,31,29,59,785,0
17022,186,44,62,252,1185,64,1
16646,7292,1106,62,252,1324,44,1
3937,16,18,31,29,96,91,0
12130,2,0,254,0,100,0,1
10384,10,8,254,252,82,44,1
2834,16,18,31,29,96,91,0
2392,8,10,31,29,132,82,0
3113,4,4,31,29,142,78,0
2062,30,42,31,29,77,819,0
17828,20,20,62,252,170,93,1
12663,2,0,254,0,100,0,1
5654,10,6,254,252,87,45,1
12414,2,0,254,0,100,0,1
12450,160,42,62,252,1163,64,1
15017,2,0,254,0,100,0,1
14355,2,0,254,0,84,0,1
10761,10,8,254,252,56,44,1
19223,14,6,254,252,474,45,1
10590,2,0,254,0,100,0,1
9592,10,6,254,252,99,45,1
14384,2,0,254,0,100,0,1
16045,10,8,254,252,56,44,1
8870,2,0,254,0,100,0,1
1724,2,2,31,29,66,82,0
17707,10,18,62,252,45,987,1
8125,2,0,254,0,532,0,1
17313,12,10,62,252,113,328,1
3098,64,66,31,29,59,785,0
10071,2,0,254,0,100,0,1
19525,22,22,62,252,52,74,1
1778,2,2,31,29,66,82,0
3141,8,10,31,29,132,82,0
17560,18,58,62,252,63,1179,1
8107,2,0,254,0,52,0,1
11512,2,0,254,0,100,0,1
3052,2,2,31,29,66,82,0
1260,16,18,31,29,96,91,0
6535,10,8,254,252,83,44,1
18059,10,10,62,252,83,212,1
16641,10,8,62,252,81,207,1
1299,8,10,31,29,132,82,0
13470,2,0,254,0,100,0,1
17752,22,18,254,252,178,126,1
16133,10,8,254,252,53,44,1
